00:15:29:20 --> 00:15:33:13 | My dad used to be in the Army but now he’s just your average HVAC specialist. (HVAC: Heating, Ventilation and Air Conditioning, dealing with temperature and air flow control in residential and industrial settings)
00:15:33:20 --> 00:15:35:23 | He and my mom got divorced when I was like five…
00:15:36:04 --> 00:15:40:13 | and she lives on a Havasu reservation in Arizona with her new husband and 3 replacement kids.
00:15:40:18 --> 00:15:44:00 | Oh and she inexplicably mails me a cactus every Valentine’s Day.
00:15:44:06 --> 00:15:46:05 | And I’m, like, “Thanks a heap, Coyote Ugly.”
00:15:46:10 --> 00:15:49:06 | “This cactus-gram stings even worse than your abandonment.” (Your choice of gift is so inappropriate that it hurts me as much as you leaving me)
00:15:50:12 --> 00:15:54:04 | That’s my step mom, Bren. She’s completely obsessed with dogs…
00:15:54:16 --> 00:15:58:03 | owns a nail salon and always smells like methyl methacrylate.
00:15:58:21 --> 00:16:01:10 | So, how was your little maneuver last night?
00:16:01:22 --> 00:16:05:19 | Which maneuver, sir? The one where I moved an entire living room set from one lawn to the other…
00:16:06:08 --> 00:16:09:22 | or the one where I downed a 64-ounce blue slushie in 10 minutes?
00:16:10:08 --> 00:16:13:03 | Juno, did you by any chance barf in my urn?
00:16:16:18 --> 00:16:19:06 | Mac, you know that nice urn by the front door? The one I got up in Stillwater?
00:16:20:00 --> 00:16:24:04 | There was some blue shit – I mean stuff in there this morning.
00:16:26:18 --> 00:16:28:14 | I would never barf in your urn, Brenda.
00:16:30:11 --> 00:16:31:20 | Maybe L.B. did it.
00:16:33:23 --> 00:16:37:20 | Liberty Bell, if you put one more Baco on that potato, I’m gonna kick your little monkey butt. (Liberty Bell: an unusual name for a child, referencing the iconic symbol of American independence from the British monarchy, a bell that rang in Independence Hall in Philadelphia, Pennsylvania, to announce the first public reading of the Declaration of Independence in 1776)
00:16:41:02 --> 00:16:45:18 | All babies want to get borned! All babies want to get borned! (She’s protesting abortions)
00:16:50:16 --> 00:16:52:03 | Hey, Su-Chin.
00:16:52:16 --> 00:16:54:18 | Oh, hi, Juno. How are you?
00:16:55:08 --> 00:16:57:04 | Pretty solid.
00:16:59:04 --> 00:17:02:10 | So did you write that paper for Worth’s class yet?
00:17:02:18 --> 00:17:04:00 | Not yet.
00:17:04:16 --> 00:17:08:02 | I tried to work on it a little last night but I’m having trouble concentrating.
00:17:08:11 --> 00:17:10:16 | I’ll sell you some of my Adderall.
00:17:10:22 --> 00:17:12:14 | No, thanks. I’m off pills.
00:17:12:23 --> 00:17:16:12 | That’s a wise choice. ‘Cause I knew this girl, she had this crazy freak-out…
00:17:16:17 --> 00:17:18:21 | because she took too many behavioral meds at once…
00:17:19:06 --> 00:17:23:15 | and she just ripped off her clothes and dove into the fountain at Ridgedale Mall… (the girl jumped into a decorative fountain at a shopping center after taking off her clothes)
00:17:23:20 --> 00:17:28:00 | and was like, “Blaaah! I am a Kraken from the sea!”
00:17:30:07 --> 00:17:31:08 | I heard that was you.
00:17:33:09 --> 00:17:35:05 | It’s good seeing you, Su-Chin.
00:17:38:08 --> 00:17:40:22 | Your baby probably has a beating heart, you know! (Aggressively attempting to persuade Juno not to get an abortion)
00:17:41:10 --> 00:17:45:09 | It can feel pain. And it has fingernails!
00:17:47:17 --> 00:17:49:18 | Fingernails? Really?
