**Sh#** | **Sh** | **Time** | **In** | **Scene** | **Description** | **Title** | **Time** | **In** | **Time** | **Out** | **Dur** | **Titles**
 |  |  |  |  |  | 1503 | 01:59:37:05 |  | 01:59:38:20 |  | 01:15 | PHIL (OS):
 |  |  |  | You're | hurting me. |  |  |  |  |  |  | Sorry, kid!
 |  |  |  |  |  |  |  |  |  |  |  | Look, I'm trying here.
 |  |  |  | PHIL | (OS): |  |  |  |  |  |  | 
 |  |  |  | Sorry, | kid! |  |  |  |  |  |  | 
 |  |  |  |  |  | 1504 | 01:59:38:22 |  | 01:59:40:14 |  | 01:16 | JACK:
 |  |  |  | Look, | I'm trying here. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Hey, Phil. It's okay,
 |  |  |  |  |  |  |  |  |  |  |  | it's okay, I got this.
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | Hey, | Phil. It's okay, |  |  |  |  |  |  | 
 |  |  |  |  |  | 1505 | 01:59:40:16 |  | 01:59:42:09 |  | 01:17 | Can I see that? Thanks.
 |  |  |  | it's okay, | I got this. |  |  |  |  |  |  | 
 |  |  |  |  |  | 1506 | 01:59:42:11 |  | 01:59:44:10 |  | 01:23 | Thanks, guys. Go ahead.
 |  |  |  | Can | I see that? Thanks. |  |  |  |  |  |  | 
 |  |  |  | Thanks, | guys. Go ahead. |  |  |  |  |  |  | 
933 | 01:59:43:19 |  |  | MWS- | JACK CUTS LILLY'S | 1507 | 01:59:44:12 |  | 01:59:46:05 |  | 01:17 | It's okay, Lilly. It's okay.
 |  |  |  | RESTRAINS |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1508 | 01:59:46:07 |  | 01:59:47:02 |  | 00:19 | LILY:
 |  |  |  | It's okay, | Lilly. It's okay. |  |  |  |  |  |  | Thank you, Jack.
 |  |  |  | LILY: |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1509 | 01:59:47:04 |  | 01:59:48:01 |  | 00:21 | JACK:
 |  |  |  | Thank | you, Jack. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Mm-hmm.
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | Mm-hmm. |  |  |  |  |  |  |  | 
934 | 01:59:47:19 |  |  | SPLIT | SCREEN - LEO SPEAKS ON | 1510 | 01:59:48:03 |  | 01:59:49:23 |  | 01:20 | LEO:
 |  |  |  | THE | CALL |  |  |  |  |  |  | No, she's great.
 |  |  |  | SCREEN | 2 - JACK CUTS LILLY'S |  |  |  |  |  |  | She's got it all.
 |  |  |  | RESTRAINS |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1511 | 01:59:51:04 |  | 01:59:52:15 |  | 01:11 | Well, this is all very
 |  |  |  | LEO: |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | exciting. Thank you so much.
 |  |  |  | No, she's | great. |  |  |  |  |  |  | 
 |  |  |  | She's | got it all. |  |  |  |  |  |  | 
 |  |  |  | Well, | this is all very |  |  |  |  |  |  | 
 |  |  |  | exciting. | Thank you so much. |  |  |  |  |  |  | 
935 | 01:59:52:00 |  |  | SPLIT | SCREEN - LEO SPEAKS ON | 1512 | 01:59:52:17 |  | 01:59:53:23 |  | 01:06 | GUS (OS):
 |  |  |  | THE | CALL |  |  |  |  |  |  | Sorry, sorry.
 |  |  |  | SCREEN | 2 - JUNE STRADDLES |  |  |  |  |  |  | 
 |  |  |  | LILLY'S | HAIR |  |  |  |  |  |  | 
 |  |  |  |  |  | 1513 | 01:59:54:01 |  | 01:59:55:03 |  | 01:02 | LEO (OS):
 |  |  |  |  |  |  |  |  |  |  |  | Send regards to Bonnie
 |  |  |  | GUS | (OS): |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | and the kids.
 |  |  |  | Sorry, | sorry. |  |  |  |  |  |  | 
 |  |  |  | LEO | (OS): |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 112
 |  |  |  | Send | regards to Bonnie | 1514 | 01:59:55:05 |  | 01:59:57:08 |  | 02:03 | CREW (OS):
 |  |  |  | and the | kids. |  |  |  |  |  |  | Come this way.
 |  |  |  |  |  |  |  |  |  |  |  | We'll have you back next year.
 |  |  |  | CREW | (OS): |  |  |  |  |  |  | 
 |  |  |  | Come | this way. |  |  |  |  |  |  | 
 |  |  |  | We'll | have you back next year. |  |  |  |  |  |  | 
936 | 01:59:55:13 |  |  | MS - | GUS FUMES |  |  |  |  |  |  | 
937 | 01:59:57:02 |  |  | MS - | LEO TURNS TO GUS | 1515 | 01:59:57:10 |  | 01:59:59:04 |  | 01:18 | GUS:
 |  |  |  |  |  |  |  |  |  |  |  | This isn't about ratings anymore,
 |  |  |  | GUS: |  |  |  |  |  |  |  | Leo.
 |  |  |  | This | isn't about ratings anymore, Leo. |  |  |  |  |  |  | 
 |  |  |  |  |  | 1516 | 01:59:59:06 |  | 02:00:00:08 |  | 01:02 | This is sorcery.
 |  |  |  | This | is sorcery. |  |  |  |  |  |  | 
938 | 01:59:59:07 |  |  | OTS | MS - GUS ARGUES | 1517 | 02:00:00:10 |  | 02:00:03:09 |  | 02:23 | LEO:
 |  |  |  |  |  |  |  |  |  |  |  | Listen to me, you God damn-
 |  |  |  | LEO: |  |  |  |  |  |  |  | shit-your-pants Mick asshole.
 |  |  |  | Listen | to me, you God damn- |  |  |  |  |  |  | 
 |  |  |  | shit-your-pants | Mick asshole. |  |  |  |  |  |  | 
939 | 02:00:01:14 |  |  | MCU | - LEO FUMES | 1518 | 02:00:03:11 |  | 02:00:04:10 |  | 00:23 | Dial up that grin.
 |  |  |  | Dial | up that grin. |  |  |  |  |  |  | 
940 | 02:00:04:08 |  |  | MCU | - GUS SMILES | 1519 | 02:00:05:10 |  | 02:00:06:14 |  | 01:04 | Dial it up.
 |  |  |  | Dial | it up. | 1520 | 02:00:06:16 |  | 02:00:09:10 |  | 02:18 | Dial it up and get
 |  |  |  |  |  |  |  |  |  |  |  | on with your job
 |  |  |  | Dial | it up and get |  |  |  |  |  |  | 
 |  |  |  | on with | your job |  |  |  |  |  |  | 
941 | 02:00:09:07 |  |  | CU - | LEO FUMES | 1521 | 02:00:09:12 |  | 02:00:11:05 |  | 01:17 | And not one more word.
 |  |  |  | And | not one more word. |  |  |  |  |  |  | 
942 | 02:00:11:15 |  |  | MCU | - LEO WALKS OFF. GUS |  |  |  |  |  |  | 
 |  |  |  | FROWNS |  |  |  |  |  |  |  | 
943 | 02:00:13:17 |  |  | MS - | HAIG STANDS AND WALKS | 1522 | 02:00:17:23 |  | 02:00:19:08 |  | 01:09 | CARMICHAEL:
 |  |  |  | OVER | TO GUS |  |  |  |  |  |  | It's all smoke and mirrors, Gus,
 |  |  |  |  |  |  |  |  |  |  |  | trust me.
 |  |  |  | CARMICHAEL: |  |  |  |  |  |  |  | 
 |  |  |  | It's all | smoke and mirrors, Gus, trust |  |  |  |  |  |  | 
 |  |  |  | me. |  |  |  |  |  |  |  | 
944 | 02:00:19:01 |  |  | MS - | HAIG WATCHES | 1523 | 02:00:19:10 |  | 02:00:20:15 |  | 01:05 | GUS:
 |  |  |  |  |  |  |  |  |  |  |  | Leo should have
 |  |  |  | GUS: |  |  |  |  |  |  |  | cut the whole show
 |  |  |  | Leo should | have |  |  |  |  |  |  | 
 |  |  |  | cut the | whole show |  |  |  |  |  |  | 
 |  |  |  |  |  | 1524 | 02:00:20:17 |  | 02:00:22:11 |  | 01:18 | right after Christou died.
 |  |  |  | right | after Christou died. |  |  |  |  |  |  | 
945 | 02:00:20:19 |  |  | MS - | GUS SPEAKS TO HAIG |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 113
946 | 02:00:22:11 |  |  | MS - | HAIG NODS | 1525 | 02:00:22:13 |  | 02:00:23:20 |  | 01:07 | CARMICHAEL:
 |  |  |  |  |  |  |  |  |  |  |  | Bombed, you mean.
 |  |  |  | CARMICHAEL: |  |  |  |  |  |  |  | 
 |  |  |  | Bombed, | you mean. | 1526 | 02:00:23:22 |  | 02:00:27:01 |  | 03:03 | GUS:
 |  |  |  |  |  |  |  |  |  |  |  | No, didn't you hear?
 |  |  |  | GUS: |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | He's dead.
 |  |  |  | No, didn't | you hear? |  |  |  |  |  |  | 
 |  |  |  | He's | dead. |  |  |  |  |  |  | 
947 | 02:00:24:00 |  |  | MWS | - GUS SPEAKS TO HAIG |  |  |  |  |  |  | 
948 | 02:00:26:18 |  |  | MS - | HAIG STARES | 1527 | 02:00:27:21 |  | 02:00:29:21 |  | 02:00 | Puked his guts out on
 |  |  |  |  |  |  |  |  |  |  |  | the way to Sinai.
 |  |  |  | Puked | his guts out on |  |  |  |  |  |  | 
 |  |  |  | the way | to Sinai. |  |  |  |  |  |  | 
949 | 02:00:28:10 |  |  | MS - | GUS TURNS AWAY | 1528 | 02:00:31:04 |  | 02:00:32:15 |  | 01:11 | PHIL:
 |  |  |  |  |  |  |  |  |  |  |  | Two minutes everyone.
 |  |  |  | PHIL: |  |  |  |  |  |  |  | 
 |  |  |  | Two | minutes everyone. |  |  |  |  |  |  | 
950 | 02:00:31:20 |  |  | MCU | - HAIG THINKS | 1529 | 02:00:32:17 |  | 02:00:35:01 |  | 02:08 | We're on the home stretch.
 |  |  |  |  |  |  |  |  |  |  |  | Let's keep it going.
 |  |  |  | We're | on the home stretch. |  |  |  |  |  |  | 
 |  |  |  | Let's | keep it going. |  |  |  |  |  |  | 
951 | 02:00:34:06 |  |  | MWS | - LILLY AND JACK STAND. | 1530 | 02:00:36:00 |  | 02:00:37:20 |  | 01:20 | LILY:
 |  |  |  | JUNE | WATCHES |  |  |  |  |  |  | Thank you, Jack.
 |  |  |  | LILY: |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1531 | 02:00:37:22 |  | 02:00:39:10 |  | 01:12 | JACK:
 |  |  |  | Thank | you, Jack. |  |  |  |  |  |  | Yeah, come here.
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1532 | 02:00:41:08 |  | 02:00:43:01 |  | 01:17 | LILY:
 |  |  |  | Yeah, | come here. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | And what are we doing now,
 |  |  |  |  |  |  |  |  |  |  |  | Jack?
 |  |  |  | LILY: |  |  |  |  |  |  |  | 
 |  |  |  | And | what are we doing now, Jack? |  |  |  |  |  |  | 
952 | 02:00:41:13 |  |  | FS - | JACK TAKES LILLY AND | 1533 | 02:00:43:03 |  | 02:00:46:01 |  | 02:22 | JACK:
 |  |  |  | JUNE | TO THE SET. JACK LOOKS |  |  |  |  |  |  | Um, now it's, it's nearly
 |  |  |  | OVER |  |  |  |  |  |  |  | time to say good night, darling.
 |  |  |  | JACK: |  | 1534 | 02:00:46:03 |  | 02:00:46:15 |  | 00:12 | [sighs]
 |  |  |  | Um, | now it's, it's nearly |  |  |  |  |  |  | 
 |  |  |  | time | to say good night, darling. |  |  |  |  |  |  | 
 |  |  |  |  |  | 1535 | 02:00:46:17 |  | 02:00:47:18 |  | 01:01 | LILY:
 |  |  |  |  |  |  |  |  |  |  |  | Oh.
 |  |  |  | [sighs] |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1536 | 02:00:47:20 |  | 02:00:49:09 |  | 01:13 | PHIL (OS):
 |  |  |  | LILY: |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Sammy, checks on June and
 |  |  |  | Oh. |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Lilly.
 |  |  |  | PHIL | (OS): |  |  |  |  |  |  | 
 |  |  |  | Sammy, | checks on June and Lilly. |  |  |  |  |  |  | 
953 | 02:00:48:14 |  |  | FS - | LEO WALKS OVER TO JACK. | 1537 | 02:00:50:22 |  | 02:00:54:22 |  | 04:00 | LEO:
 |  |  |  | JACK | POURS A DRINK |  |  |  |  |  |  | Okay, so three of the
 |  |  |  |  |  |  |  |  |  |  |  | crew just walked off,
 |  |  |  | LEO: |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 114
 |  |  |  | Okay, | so three of the | 1538 | 02:00:55:00 |  | 02:00:56:11 |  | 01:11 | the communications commission
 |  |  |  | crew | just walked off, |  |  |  |  |  |  | 
 |  |  |  | the communications | commission |  |  |  |  |  |  | 
954 | 02:00:55:22 |  |  | MCU | - LEO SPEAKS TO JACK | 1539 | 02:00:56:13 |  | 02:01:01:13 |  | 05:00 | have called an emergency
 |  |  |  |  |  |  |  |  |  |  |  | meeting at 7:00 AM, and...
 |  |  |  | have | called an emergency |  |  |  |  |  |  | 
 |  |  |  | meeting | at 7:00 AM, and... |  |  |  |  |  |  | 
 |  |  |  |  |  | 1540 | 02:01:01:15 |  | 02:01:02:13 |  | 00:22 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | Bedford?
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | Bedford? |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1541 | 02:01:02:15 |  | 02:01:03:22 |  | 01:07 | LEO:
 |  |  |  |  |  |  |  |  |  |  |  | Mm-hmm?
 |  |  |  | LEO: |  |  |  |  |  |  |  | 
 |  |  |  | Mm-hmm? |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1542 | 02:01:04:00 |  | 02:01:04:18 |  | 00:18 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | What did he say?
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | What | did he say? |  |  |  |  |  |  | 
 |  |  |  |  |  | 1543 | 02:01:04:20 |  | 02:01:06:10 |  | 01:14 | LEO:
 |  |  |  |  |  |  |  |  |  |  |  | Just that he thinks it's the biggest
 |  |  |  | LEO: |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | TV event
 |  |  |  | Just | that he thinks it's the biggest TV |  |  |  |  |  |  | 
 |  |  |  | event |  |  |  |  |  |  |  | 
955 | 02:01:05:03 |  |  | OTS | MCU - LEO SPEAKS TO JACK. | 1544 | 02:01:06:12 |  | 02:01:07:15 |  | 01:03 | since the Moon landing.
 |  |  |  | HE PUTS | THE CIGARETTE IN HIS |  |  |  |  |  |  | 
 |  |  |  | MOUTH |  | 1545 | 02:01:07:17 |  | 02:01:08:23 |  | 01:06 | Who was I to disagree?
 |  |  |  | since | the Moon landing. |  |  |  |  |  |  | 
 |  |  |  | Who | was I to disagree? |  |  |  |  |  |  | 
956 | 02:01:09:11 |  |  | MCU | - JACK CHEERS | 1546 | 02:01:09:21 |  | 02:01:13:01 |  | 03:04 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | We're back, baby.
 |  |  |  | JACK: |  |  |  |  |  |  |  | Back from the fuckin' dead.
 |  |  |  | We're | back, baby. |  |  |  |  |  |  | 
 |  |  |  | Back | from the fuckin' dead. |  |  |  |  |  |  | 
957 | 02:01:12:05 |  |  | MCU | - JACK DRINKS. LEO | 1547 | 02:01:13:03 |  | 02:01:15:21 |  | 02:18 | LEO:
 |  |  |  | SHAKES | HIS HEAD |  |  |  |  |  |  | We're talkin' about 35,
 |  |  |  |  |  |  |  |  |  |  |  | maybe 40 share.
 |  |  |  | LEO: |  |  |  |  |  |  |  | 
 |  |  |  | We're | talkin' about 35, |  |  |  |  |  |  | 
 |  |  |  | maybe | 40 share. |  |  |  |  |  |  | 
958 | 02:01:15:20 |  |  | MCU | - JACK GETS EXCITED | 1548 | 02:01:16:20 |  | 02:01:17:23 |  | 01:03 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | The night Jack Delroy
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | The night | Jack Delroy |  |  |  |  |  |  | 
 |  |  |  |  |  | 1549 | 02:01:18:01 |  | 02:01:20:00 |  | 01:23 | interviewed that
 |  |  |  |  |  |  |  |  |  |  |  | cock fucking devil.
 |  |  |  | interviewed | that |  |  |  |  |  |  | 
 |  |  |  | cock | fucking devil. |  |  |  |  |  |  | 
 |  |  |  |  |  | 1550 | 02:01:20:02 |  | 02:01:21:20 |  | 01:18 | LEO:
 |  |  |  |  |  |  |  |  |  |  |  | Well, it might not be the
 |  |  |  | LEO: |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | headline "The Times" runs with,
 |  |  |  | Well, | it might not be the |  |  |  |  |  |  | 
 |  |  |  | headline | "The Times" runs with, |  |  |  |  |  |  | 
959 | 02:01:21:00 |  |  | MCU | - LEO EXPLAINS TO JACK | 1551 | 02:01:21:22 |  | 02:01:22:19 |  | 00:21 | or "The Post," for that matter.
 |  |  |  | or "The | Post," for that matter. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 115
 |  |  |  |  |  | 1552 | 02:01:22:21 |  | 02:01:24:07 |  | 01:10 | But something in that vein.
 |  |  |  | But something | in that vein. |  |  |  |  |  |  | 
 |  |  |  |  |  | 1553 | 02:01:24:09 |  | 02:01:28:09 |  | 04:00 | Oh, and Bedford also took quite
 |  |  |  | Oh, and | Bedford also took quite |  |  |  |  |  |  | a liking to, to June, too.
 |  |  |  | a liking | to, to June, too. |  |  |  |  |  |  | 
960 | 02:01:28:03 |  |  | MCU | - LILLY STARES | 1554 | 02:01:28:11 |  | 02:01:30:04 |  | 01:17 | Asked when she'd be back.
 |  |  |  | Asked | when she'd be back. |  |  |  |  |  |  | 
 |  |  |  |  |  | 1555 | 02:01:30:06 |  | 02:01:31:00 |  | 00:18 | JACK (OS/ON):
 |  |  |  |  |  |  |  |  |  |  |  | I'll do what I can
 |  |  |  | JACK | (OS/ON): |  |  |  |  |  |  | 
 |  |  |  | I'll do | what I can |  |  |  |  |  |  | 
 |  |  |  |  |  | 1556 | 02:01:31:02 |  | 02:01:33:00 |  | 01:22 | Guess I don't have
 |  |  |  |  |  |  |  |  |  |  |  | to kiss Cavendish's ass.
 |  |  |  | Guess | I don't have |  |  |  |  |  |  | 
 |  |  |  | to kiss | Cavendish's ass. |  |  |  |  |  |  | 
961 | 02:01:31:05 |  |  | MCU | - JACK SPEAKS TO LEO | 1557 | 02:01:33:02 |  | 02:01:35:00 |  | 01:22 | LEO:
 |  |  |  |  |  |  |  |  |  |  |  | Cavendish? Screw Cavendish.
 |  |  |  | LEO: |  |  |  |  |  |  |  | 
 |  |  |  | Cavendish? | Screw Cavendish. | 1558 | 02:01:35:02 |  | 02:01:38:07 |  | 03:05 | After tonight, every fucking
 |  |  |  |  |  |  |  |  |  |  |  | Fortune 500 will be lining up
 |  |  |  | After | tonight, every fucking |  |  |  |  |  |  | 
 |  |  |  | Fortune | 500 will be lining up |  |  |  |  |  |  | 
962 | 02:01:35:05 |  |  | MCU | - JACK DRINKS. LEO | 1559 | 02:01:38:09 |  | 02:01:41:21 |  | 03:12 | to be a part of the
 |  |  |  | EXPLAINS |  |  |  |  |  |  |  | resurrection of Jack Delroy.
 |  |  |  | to be | a part of the |  |  |  |  |  |  | 
 |  |  |  | resurrection | of Jack Delroy. |  |  |  |  |  |  | 
963 | 02:01:41:16 |  |  | MWS- | JACK AND LEO DRINK. | 1560 | 02:01:41:23 |  | 02:01:44:04 |  | 02:05 | If anyone's gonna be
 |  |  |  | HAIG | INSPECTS THE AREA |  |  |  |  |  |  | kissing ass, it's them.
 |  |  |  | If anyone's | gonna be |  |  |  |  |  |  | 
 |  |  |  | kissing | ass, it's them. |  |  |  |  |  |  | 
964 | 02:01:44:03 |  |  | MCU | - LEO LOOKS AT JACK | 1561 | 02:01:46:16 |  | 02:01:47:14 |  | 00:22 | What's the matter?
 |  |  |  | What's | the matter? |  |  |  |  |  |  | 
965 | 02:01:47:06 |  |  | CU - | JACK SHAKES HIS HEAD | 1562 | 02:01:48:21 |  | 02:01:52:18 |  | 03:21 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | Just that girl's voice.
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | Just | that girl's voice. |  |  |  |  |  |  | 
966 | 02:01:52:20 |  |  | MCU | - LEO SHRUGS | 1563 | 02:01:52:20 |  | 02:01:54:19 |  | 01:23 | LEO:
 |  |  |  |  |  |  |  |  |  |  |  | I know. How did she do that?
 |  |  |  | LEO: |  |  |  |  |  |  |  | 
 |  |  |  | I know. | How did she do that? |  |  |  |  |  |  | 
967 | 02:01:54:19 |  |  | CU - | JACK EXPLAINS | 1564 | 02:01:54:21 |  | 02:01:55:23 |  | 01:02 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | Yeah, but at the end, I mean,
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | Yeah, | but at the end, I mean, |  |  |  |  |  |  | 
 |  |  |  |  |  | 1565 | 02:01:56:01 |  | 02:01:57:05 |  | 01:04 | she sounded just like
 |  |  |  |  |  |  |  |  |  |  |  | Minnie, you heard that.
 |  |  |  | she sounded | just like |  |  |  |  |  |  | 
 |  |  |  | Minnie, | you heard that. |  |  |  |  |  |  | 
 |  |  |  |  |  | 1566 | 02:01:57:07 |  | 02:01:58:01 |  | 00:18 | LEO:
 |  |  |  |  |  |  |  |  |  |  |  | No, no, no, no.
 |  |  |  |  |  |  |  |  |  |  |  | pg. 116
 |  |  |  | LEO: |  | 1567 | 02:01:58:03 |  | 02:02:00:16 |  | 02:13 | Don't, don't, don't, don't
 |  |  |  | No, no, | no, no. |  |  |  |  |  |  | you go all screwy on me, Jack.
 |  |  |  | Don't, | don't, don't, don't |  |  |  |  |  |  | 
 |  |  |  | you go | all screwy on me, Jack. |  |  |  |  |  |  | 
968 | 02:01:59:21 |  |  | CU - | LEO EXPLAINS | 1568 | 02:02:00:18 |  | 02:02:03:04 |  | 02:10 | I've already got Gus back
 |  |  |  |  |  |  |  |  |  |  |  | there prepping for an exorcism.
 |  |  |  | I've already | got Gus back |  |  |  |  |  |  | 
 |  |  |  | there | prepping for an exorcism. | 1569 | 02:02:03:06 |  | 02:02:05:07 |  | 02:01 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | I just got spooked. That's all.
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | I just | got spooked. That's all. |  |  |  |  |  |  | 
969 | 02:02:03:17 |  |  | MCU | - JACK SHRUGS | 1570 | 02:02:06:11 |  | 02:02:07:17 |  | 01:06 | LEO:
 |  |  |  |  |  |  |  |  |  |  |  | Let me tell you something.
 |  |  |  | LEO: |  |  |  |  |  |  |  | 
 |  |  |  | Let me | tell you something. |  |  |  |  |  |  | 
970 | 02:02:06:13 |  |  | CU - | LEO EXPLAINS |  |  |  |  |  |  | 
971 | 02:02:07:16 |  |  | MCU | - JACK SHUTS HIS EYES | 1571 | 02:02:07:19 |  | 02:02:10:03 |  | 02:08 | If Minnie were here,
 |  |  |  |  |  |  |  |  |  |  |  | should be saying,
 |  |  |  | If Minnie | were here, |  |  |  |  |  |  | 
 |  |  |  | should | be saying, | 1572 | 02:02:10:05 |  | 02:02:12:02 |  | 01:21 | "You get out
 |  |  |  |  |  |  |  |  |  |  |  | there, Mr. Midnight,
 |  |  |  | "You | get out |  |  |  |  |  |  | 
 |  |  |  | there, | Mr. Midnight, |  |  |  |  |  |  | 
972 | 02:02:11:05 |  |  | OTS | CU - LEO EXPLAINS | 1573 | 02:02:12:04 |  | 02:02:13:14 |  | 01:10 | and you knock 'em dead."
 |  |  |  | and you | knock 'em dead." |  |  |  |  |  |  | 
973 | 02:02:13:08 |  |  | MCU | - JACK NODS | 1574 | 02:02:14:10 |  | 02:02:16:04 |  | 01:18 | PHIL:
 |  |  |  |  |  |  |  |  |  |  |  | Positions, people, 10 seconds.
 |  |  |  | PHIL: |  |  |  |  |  |  |  | 
 |  |  |  | Positions, | people, 10 seconds. |  |  |  |  |  |  | 
974 | 02:02:16:00 |  |  | MWS | - JACK WALKS TO THE | 1575 | 02:02:16:06 |  | 02:02:17:05 |  | 00:23 | LEO:
 |  |  |  | STAGE | AND SITS. HE PUTS THE |  |  |  |  |  |  | We'll drop the costume parade
 |  |  |  | DAGGER | ASIDE |  |  |  |  |  |  | 
 |  |  |  |  |  | 1576 | 02:02:17:07 |  | 02:02:20:05 |  | 02:22 | to give Carmichael a few
 |  |  |  | LEO: |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | more minutes on his soapbox
 |  |  |  | We'll | drop the costume parade |  |  |  |  |  |  | 
 |  |  |  |  |  | 1577 | 02:02:20:07 |  | 02:02:21:19 |  | 01:12 | and then we'll wrap it
 |  |  |  | to give | Carmichael a few |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | up, throw it to Cleo.
 |  |  |  | more | minutes on his soapbox |  |  |  |  |  |  | 
 |  |  |  |  |  | 1578 | 02:02:21:21 |  | 02:02:23:02 |  | 01:05 | PHIL (OS):
 |  |  |  | and then | we'll wrap it |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | 10 seconds people.
 |  |  |  | up, throw | it to Cleo. |  |  |  |  |  |  | 
 |  |  |  |  |  | 1579 | 02:02:23:04 |  | 02:02:26:02 |  | 02:22 | LEO:
 |  |  |  | PHIL | (OS): |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Jack. Dagger?
 |  |  |  | 10 seconds | people. |  |  |  |  |  |  | 
 |  |  |  |  |  | 1580 | 02:02:26:04 |  | 02:02:29:13 |  | 03:09 | PHIL:
 |  |  |  | LEO: |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | And in five, four...
 |  |  |  | Jack. | Dagger? |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 117
 |  |  |  | PHIL: |  |  |  |  |  |  |  | 
 |  |  |  | And | in five, four... |  |  |  |  |  |  | 
975 | 02:02:29:11 |  |  | FS - | JACK, JUNE, LILLY, HAIG, |  |  |  |  |  |  | 
 |  |  |  | AND | GUS LOOK AT THE CAMERA |  |  |  |  |  |  | 
976 | 02:02:32:06 |  |  | SUPER | - WELCOME BACK | 1581 | 02:02:32:08 |  | 02:02:33:14 |  | 01:06 | [music begins]
 |  |  |  | [music | begins] |  |  |  |  |  |  | 
977 | 02:02:36:13 |  |  | FS - | THE CAMERA TRACKS OUT. |  |  |  |  |  |  | 
 |  |  |  | THE | BAND PLAYS THE MUSIC |  |  |  |  |  |  | 
978 | 02:02:39:21 |  |  | FS - | THE BAND PLAYS THE | 1582 | 02:02:41:19 |  | 02:02:43:16 |  | 01:21 | [music ends]
 |  |  |  | MUSIC |  |  |  |  |  |  |  | 
 |  |  |  | [music | ends] |  |  |  |  |  |  | 
979 | 02:02:42:17 |  |  | FS - | JACK SPEAKS TO THE | 1583 | 02:02:43:18 |  | 02:02:45:01 |  | 01:07 | JACK (ON/OS):
 |  |  |  | VIEWERS. | THE CAMERA TRACKS |  |  |  |  |  |  | Welcome back.
 |  |  |  | IN |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1584 | 02:02:45:03 |  | 02:02:46:16 |  | 01:13 | Ladies and gentlemen,
 |  |  |  | JACK | (ON/OS): |  |  |  |  |  |  | 
 |  |  |  | Welcome | back. |  |  |  |  |  |  | 
 |  |  |  |  |  | 1585 | 02:02:46:18 |  | 02:02:49:06 |  | 02:12 | before we continue,
 |  |  |  |  |  |  |  |  |  |  |  | I'd like to apologise
 |  |  |  | Ladies | and gentlemen, |  |  |  |  |  |  | 
 |  |  |  |  |  | 1586 | 02:02:49:08 |  | 02:02:52:09 |  | 03:01 | to anyone who may have
 |  |  |  | before | we continue, |  |  |  |  |  |  | 
