FILENAME: COYOTE_102_TV_As-Broadcast Dialogue List (1).docx
STRUCTURE: table_with_timecodes
=== RAW TEXT ===
=== PARAGRAPHS ===
COYOTE
Episode 102 – Final
Episode Title: “Silver or Lead”
RT: 48:14
as-broadcast DIALOGUE LIST
Produced by:
The Carnes & Gilbert Business
Dark Horse Entertainment
Narrative Ballistics
MacLaren Entertainment
Paramount Network Original
Sony Pictures Television Studios
DIALOGUE LIST

=== TABLE 1 (442 rows x 3 cols) ===
TIME CODE | CHARACTER | DIALOGUE
01:30:58:22 | THUG IN CAR 1 | (speaking Spanish) ¡Danos a la chica ahora!
01:31:01:13 | BEN | <panting>
01:31:04:06 | MARIA | <screams>
01:31:05:18 | THUG IN CAR 1 | (speaking Spanish) ¡La tengo!
01:31:05:18 | SUBTITLE (THUG IN CAR 1) | I've got her.
01:31:11:12 | THUG IN CAR 2 | <panting>
01:31:18:02 | BEN / THUG IN CAR 2 | <overlapping fighting grunting>
01:31:34:16 | BEN | <panting> Thanks. <pants> <grunts> <panting>
01:31:58:22 | BEN | They've been tracking us.
01:32:00:07 | BEN | <grunts> <panting>
01:32:07:12 | MARIA | (speaking Spanish) Migra. <shuddering breath> Más sicarios.
01:32:10:17 | BEN | Oh, shit! <grunting and panting>
01:32:11:12 | MARIA | (overlaps) <breathes heavily>
01:32:19:18 | BEN | (into phone) I see headlights. Is that you?
01:32:21:11 | GARRETT | (into phone) Yeah. I'm, uh, almost on top of you.
01:32:40:08 | GARRETT | Hey, what the hell is going on?
01:32:43:00 | BEN | What the fuck did you drive that thing for?
01:32:45:15 | GARRETT | Well, my Honda Civic is not exactly off-road material. And who's gonna pull me over if I'm driving a border patrol vehicle with her in the back seat?
01:32:53:19 | BEN | Garrett, Maria Elena. Maria Elena, Garrett.
01:32:56:22 | MARIA | (speaking Spanish) Mucho gusto.
01:32:59:07 | GARRETT | What are you doing with her?
01:33:01:02 | BEN | Look, you've known me for a while, right? In all that time, have you ever seen me break the law?
01:33:06:00 | GARRETT | No.
01:33:07:05 | BEN | Well, then I must have a pretty good reason for doing it, right? <sighs> Just get her in the car. <panting>
01:33:14:18 | GARRETT | (overlaps) Okay. Let's go.
01:33:20:17 | ON-SCREEN TEXT {on cell phone screen} | no caller id
01:33:24:12 | BEN | <breathing heavily> (whispering) What the…
01:33:33:22 | BEN | <exhales sharply>
01:33:39:08 | BEN | <shuddering breaths> No. No. <breathes heavily> No. <grunts> Oh, Jesus. <gasps> <breathes heavily>
